Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Iraq,33.0,44.0,Battle-related deaths (number of people),VC.BTL.DETH,IRQ,94,23038,327,118,140,657,681,1911,32,270,53,7,26,7927,4094,2608,3939,2217,2200,1043,1144,1072,638,1882,12149,10138,9016,..
Ireland,53.0,-8.0,Battle-related deaths (number of people),VC.BTL.DETH,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Isle of Man,54.23,-4.55,Battle-related deaths (number of people),VC.BTL.DETH,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,31.5,34.75,Battle-related deaths (number of people),VC.BTL.DETH,ISR,18,16,31,49,44,35,71,..,..,..,77,244,610,309,376,120,565,276,665,682,27,56,64,..,1671,..,..,..
Italy,42.8333,12.8333,Battle-related deaths (number of people),VC.BTL.DETH,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jamaica,18.25,-77.5,Battle-related deaths (number of people),VC.BTL.DETH,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,36.0,138.0,Battle-related deaths (number of people),VC.BTL.DETH,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,31.0,36.0,Battle-related deaths (number of people),VC.BTL.DETH,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,34,..
Kazakhstan,48.0,68.0,Battle-related deaths (number of people),VC.BTL.DETH,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,1.0,38.0,Battle-related deaths (number of people),VC.BTL.DETH,KEN,..,..,..,..,..,..,..,..,..,18,..,10,..,..,..,..,..,1,..,..,..,2,29,32,37,45,49,..
Kiribati,1.4167,173.0,Battle-related deaths (number of people),VC.BTL.DETH,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,29.3375,47.6581,Battle-related deaths (number of people),VC.BTL.DETH,KWT,1058,135,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,57.0,25.0,Battle-related deaths (number of people),VC.BTL.DETH,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,33.8333,35.8333,Battle-related deaths (number of people),VC.BTL.DETH,LBN,753,40,89,122,82,73,90,82,54,41,..,..,..,..,..,..,588,..,..,..,..,..,..,2,134,76,..,..
